FUND_ID;NAME;FULL_NAME;CODE;MFEE;REG_NUMBER;REG_DATE;FUND_CLASS;BANK_INN;BANK_KPP;BANK_RECIPIENT;BANK_K_ACCOUNT;BANK_BIC;BANK_R_ACCOUNT;RECIPIENT_OKPO;RECIPIENT_OGRN;RECIPIENT_OKATO;MIN_AMOUNT_AK;BLOCKED;MIN_AMOUNT;MIN_AMOUNT_ADDITION;MIN_AMOUNT_ADDITION_AK;TYPE_SYS_NAME;CURRENCY_ID;DU_FUND_ID;POSITION_CURRENCY_ID;ASSET_ID;ISIN;PRODUCT_CLASS;PRODUCT_CATEGORY;Focus;CAN_PAY_INCOME;QUALIFIED;EXT_FUND_ID
2867829941;ОПИФ  «АК Ликвидные акции»;Открытый паевой инвестиционный фонд рыночных финансовых инструментов  «Альфа-Капитал Ликвидные акции»;573;0;0387-78483850;2005-08-18 00:00:00;ОПИФ;7728142469;770301001;АО «АЛЬФА-БАНК» г. Москва;30101810200000000593;044525593;40701810002750000370;45022341;1027739292283;45286575000;100;0;100;100;100;OPENED;RUB;340407;RUB;2879553690;RU000A0HNST4;ПИФ;ПИФ_Открытые;Equity;0;0;65145-000
2867829943;ЗПИФ  «АК Еврооблигации»;Закрытый паевой инвестиционный фонд рыночных финансовых инструментов «Альфа-Капитал Еврооблигации»;574;0;0386-78483614;2005-08-18 00:00:00;ЗПИФ;7728142469;770301001;АО «АЛЬФА-БАНК» г. Москва;30101810200000000593;044525593;40701810602750000372;45022341;1027739292283;45286575000;100;0;100;100;100;CLOSED;RUB;340408;RUB;6560;RU000A0HNSU2;ЗПИФ;ЗПИФ_заблокированные;Bond;0;0;65144-000
49064043;ОПИФ  «АК Облигации Плюс»;Открытый паевой инвестиционный фонд рыночных финансовых инструментов «Альфа-Капитал Облигации Плюс»;05;0;0095-59893492;2003-03-21 00:00:00;ОПИФ;7728142469;770301001;АО «Альфа-Банк» г. Москва;30101810200000000593;044525593;40701810802750000020;45022341;1027739292283;45286575000;100;0;100;100;100;OPENED;RUB;27;RUB;6840;RU000A0ERNN6;ПИФ;ПИФ_Открытые;Bond;0;0;5652-000
49064050;ОПИФ  «АК Баланс»;Открытый паевой инвестиционный фонд рыночных финансовых инструментов  «Альфа-Капитал Баланс»;23;0;0500-94103344;2006-04-13 00:00:00;ОПИФ;7728142469;770301001;АО «АЛЬФА-БАНК» г. Москва;30101810200000000593;044525593;40701810002750000024;45022341;1027739292283;45286575000;100;0;100;100;100;OPENED;RUB;29;RUB;7180;RU000A0JRXP9;ПИФ;ПИФ_Открытые;Mixed;0;0;8758-000
49064052;ЗПИФ  «АК Глобальный баланс»;Закрытый паевой инвестиционный фонд рыночных финансовых инструментов«Альфа-Капитал Глобальный баланс»;57;0;0907-94126486;2007-08-07 00:00:00;ЗПИФ;7728142469;770301001;АО «Альфа-Банк» г. Москва;30101810200000000593;044525593;40701810102750000021;45022341;1027739292283;45286575000;100;0;100;100;100;CLOSED;RUB;39;RUB;7532;RU000A0JRXK0;ЗПИФ;ЗПИФ_заблокированные;Mixed;0;0;14317-000
49064053;ЗПИФ  «АК Золото»;Закрытый паевой инвестиционный фонд рыночных финансовых инструментов «Альфа-Капитал Золото»;55;0;0908-94126724;2007-08-07 00:00:00;ЗПИФ;7728142469;770301001;АО «Альфа-Банк» г. Москва;30101810200000000593;044525593;40701810402750000022;45022341;1027739292283;45286575000;100;0;100;100;100;CLOSED;RUB;37;RUB;7531;RU000A0JRYH4;ЗПИФ;ЗПИФ_заблокированные;Mixed;0;0;14315-000
49064047;ЗПИФ  «АК Технологии»;Закрытый паевой инвестиционный фонд рыночных финансовых инструментов «Альфа-Капитал Технологии»;39;0;0699-94121833;2006-12-12 00:00:00;ЗПИФ;7728142469;770301001;АО «Альфа-Банк» г. Москва;30101810200000000593;044525593;40701810302750000025;45022341;1027739292283;45286575000;100;0;100;100;100;CLOSED;RUB;34;RUB;7243;RU000A0JRXG8;ЗПИФ;ЗПИФ_заблокированные;Equity;0;0;12064-000
64666315939;ОПИФ  «АК Акции с выплатой дохода»;Открытый паевой инвестиционный фонд рыночных финансовых инструментов «Альфа-Капитал Акции с выплатой дохода»;652;0;5626;2023-09-08 00:00:00;ОПИФ;7728142469;770301001;"АО ""АЛЬФА-БАНК""";30101810200000000593;044525593;40701810701850002922;;;;50000;0;50000;50000;50000;OPENED;RUB;47180426;RUB;64562749126;RU000A106XW7;ПИФ;ПИФ_Открытые;Equity;1;0;5626-000
59029176563;ОПИФ  «АК Облигации с выплатой дохода»;Открытый паевой инвестиционный фонд рыночных финансовых инструментов «Альфа-Капитал Облигации с выплатой дохода»;651;0;5473;2023-07-06 00:00:00;ОПИФ;7728142469;770301001;"АО ""АЛЬФА-БАНК""";30101810200000000593;044525593;40701810901850002890;;;;50000;0;50000;50000;50000;OPENED;RUB;46243040;RUB;58911332917;RU000A106JW6;ПИФ;ПИФ_Открытые;Bond;1;0;5473-000
55805792836;ОПИФ  «АК Валютные облигации»;Открытый паевой инвестиционный фонд рыночных финансовых инструментов  «Альфа-Капитал Валютные облигации»;649;0;5425;2023-06-08 00:00:00;ОПИФ;7728142469;770301001;"АО ""АЛЬФА-БАНК""";30101810200000000593;044525593;40701810901850002861;;;;100;0;100;100;100;OPENED;RUB;45977902;RUB;56073459869;RU000A106DQ1;ПИФ;ПИФ_Открытые;Bond;0;0;5425-000
