STRATEGY_ID;NAME;SYS_NAME;CURRENCY_ALPHA_CODE;PAY_BANK;BANK_RACCOUNT;CUSTODY_ACCOUNT;BANK_RECEIVER_RACCOUNT;TRADE_ACCOUNT_RUR;SDU;IS_DU;IS_IDU;IS_MANAGEABLE;QUALIFIED;PARTIAL_WITHDRAWAL;STATUS;Instance;Focus;MANAGED_BY
32276;ИИС Наше будущее;IIS_Our Future;RUB;АО «Альфа-Банк»;40701810002750000480;36MC0250000000FNB;40701810002750000480;30414810000000000911;CC;1;0;1;0;0;OPEN;main;Bonds;PM Bonds
32277;ИИС Новые горизонты;IIS_Nerw horizons;RUB;АО «Альфа-Банк»;40701810302750000478;36MC0250000000FNG;40701810302750000478;30414810000000000911;CC;1;0;1;0;0;OPEN;main;Bonds;PM Bonds
32278;ИИС Точки Роста;IIS_Points;RUB;АО «Альфа-Банк»;40701810602750000479;36MC0250000000FTR;40701810602750000479;30414810000000000911;CC;1;0;1;0;0;OPEN;main;Equities;PM Equities
2867173;ИИС Премиум;IIS_Premium;RUB;АО «Альфа-Банк»;40701810602750000479;36MC0250000000PRE;40701810602750000479;30414810000000000911;CC;1;0;1;0;0;OPEN;main;Mixed;PM Equities
10151513;ИИС Альфа Управляемые Облигации;IIS_BONDSONLINE;RUB;АО «Альфа-Банк»;40701810602750000479;36MC0250000000FBO;40701810602750000479;30414810000000000911;CC;1;0;1;0;1;OPEN;autoinvest;Bonds;PM Bonds
20633128;ИИС Альфа Управляемые российские акции;IISURA;RUB;АО «Альфа-Банк»;40701810602750000479;36MC0250000000FBO;40701810602750000479;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Equities;PM Equities
;ИИС Альфа Мой Капитал;;RUB;АО «Альфа-Банк»;;;;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Mixed;PM Equities
;ИИС Альфа Космос;;RUB;АО «Альфа-Банк»;;;;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Equities;PM Equities
;ИИС Альфа Голубые фишки;;RUB;АО «Альфа-Банк»;;;;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Equities;PM Equities
;ИИС Альфа Мировые лидеры IT;;RUB;АО «Альфа-Банк»;;;;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Equities;PM Equities
;ИИС Альфа Недра России;;RUB;АО «Альфа-Банк»;;;;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Equities;PM Equities
;ИИС Альфа Медицина;;RUB;АО «Альфа-Банк»;;;;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Equities;PM Equities
;ИИС Альфа  Баланс;;RUB;АО «Альфа-Банк»;;;;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Mixed;PM Equities
;ИИС Альфа Евро облигации;;RUB;АО «Альфа-Банк»;;;;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Bonds;PM Bonds
;ИИС Альфа Евро облигации;;RUB;АО «Альфа-Банк»;;;;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Bonds;PM Bonds
;ИИС Альфа Видеоигры;;RUB;АО «Альфа-Банк»;;;;30414810000000000911;CC;1;0;1;0;0;OPEN;autoinvest;Equities;PM Equities
